"Type","Value","DB_Match"
"CLASS","ACTIVE YOGA","YES"
"CLASS","AQUA CIRCUIT","YES"
"CLASS","AQUA FIT","NO"
"CLASS","AQUA IN MOTION","YES"
"CLASS","AQUA ZUMBA?","NO"
"CLASS","BARRE","YES"
"CLASS","BODYBALANCE?","NO"
"CLASS","BODYCOMBAT?","NO"
"CLASS","BODYPUMP?","NO"
"CLASS","BOOTCAMP","YES"
"CLASS","CARDIO DANCE","YES"
"CLASS","FEELING FIT","YES"
"CLASS","GENTLE YOGA","YES"
"CLASS","GRIT - ATHLETIC?","NO"
"CLASS","GRIT - CARDIO?","NO"
"CLASS","GRIT - STRENGTH?","NO"
"CLASS","GRIT-CARDIO?","NO"
"CLASS","GROUP CYCLE","YES"
"CLASS","HIGH FITNESS?","NO"
"CLASS","LES MILLS CORE?","NO"
"CLASS","LES MILLS RPM?","NO"
"CLASS","PILATES","YES"
"CLASS","POWER YOGA","YES"
"CLASS","RIDE STRONG","NO"
"CLASS","SILVER CYCLE","YES"
"CLASS","SILVERSNEAKERS YOGA","YES"
"CLASS","SILVERSNEAKERS? CIRCUIT","NO"
"CLASS","SILVERSNEAKERS? CLASSIC","NO"
"CLASS","STEP-CARDIO","YES"
"CLASS","STEP-INTERVAL","YES"
"CLASS","TAI CHI","YES"
"CLASS","TOTAL BODY STRONG","YES"
"CLASS","TRX BODY BLAST?","NO"
"CLASS","UPBEAT BARRE?","NO"
"CLASS","UPBEAT LIFT?","NO"
"CLASS","UPBEAT PILATES?","NO"
"CLASS","WERQ?","NO"
"CLASS","ZUMBA GOLD","YES"
"CLASS","ZUMBA?","NO"
"INSTRUCTOR","ADRIANA","YES"
"INSTRUCTOR","ALISA","YES"
"INSTRUCTOR","ANNA B","YES"
"INSTRUCTOR","ANTHONY","YES"
"INSTRUCTOR","BARB D","YES"
"INSTRUCTOR","BINH","NO"
"INSTRUCTOR","BRENDA","YES"
"INSTRUCTOR","BRIT C","YES"
"INSTRUCTOR","CAROL","YES"
"INSTRUCTOR","CHAR","YES"
"INSTRUCTOR","DANIELLE","YES"
"INSTRUCTOR","DANIELLE B","YES"
"INSTRUCTOR","DEB F","NO"
"INSTRUCTOR","ERIN","YES"
"INSTRUCTOR","EVA","YES"
"INSTRUCTOR","FRIEDA","YES"
"INSTRUCTOR","GIL","YES"
"INSTRUCTOR","GIL G","YES"
"INSTRUCTOR","HEATHER R","YES"
"INSTRUCTOR","JACKIE P","YES"
"INSTRUCTOR","JADA","NO"
"INSTRUCTOR","JAYME","YES"
"INSTRUCTOR","JENN W","YES"
"INSTRUCTOR","JESS","NO"
"INSTRUCTOR","JESS G","YES"
"INSTRUCTOR","JOAN","YES"
"INSTRUCTOR","JOEL S","YES"
"INSTRUCTOR","JULIE","YES"
"INSTRUCTOR","KARIN","YES"
"INSTRUCTOR","KATHY F","YES"
"INSTRUCTOR","KELLY","NO"
"INSTRUCTOR","KELLY N","YES"
"INSTRUCTOR","KIM K","YES"
"INSTRUCTOR","KIM S","YES"
"INSTRUCTOR","KRIST","NO"
"INSTRUCTOR","KRISTA","YES"
"INSTRUCTOR","LAURA","YES"
"INSTRUCTOR","LAUREN","NO"
"INSTRUCTOR","LAURIE","YES"
"INSTRUCTOR","LISA B","YES"
"INSTRUCTOR","LISA BA","YES"
"INSTRUCTOR","MARI","NO"
"INSTRUCTOR","MARIBEL","NO"
"INSTRUCTOR","MEGAN","YES"
"INSTRUCTOR","MEGHAN","YES"
"INSTRUCTOR","MELANIE","YES"
"INSTRUCTOR","MEREDITH","YES"
"INSTRUCTOR","MIKEY","YES"
"INSTRUCTOR","MINDY","YES"
"INSTRUCTOR","NANETTE","YES"
"INSTRUCTOR","OLGA","YES"
"INSTRUCTOR","PIERCE","YES"
"INSTRUCTOR","ROBERT","YES"
"INSTRUCTOR","RON","YES"
"INSTRUCTOR","SAM","NO"
"INSTRUCTOR","SAM R","YES"
"INSTRUCTOR","SANDY P","YES"
"INSTRUCTOR","SARA","YES"
"INSTRUCTOR","SHELLEY","YES"
"INSTRUCTOR","SUNNY","YES"
"INSTRUCTOR","SUSAN","YES"
"INSTRUCTOR","SUZANNE","NO"
"INSTRUCTOR","TAYLOR","NO"
"INSTRUCTOR","TESS","YES"
"INSTRUCTOR","TIA","YES"
"INSTRUCTOR","VANESSA","YES"
"INSTRUCTOR","WENDI","YES"
"LOCATION","C","YES"
"LOCATION","EP","YES"
"LOCATION","FG","YES"
"LOCATION","MB","YES"
"LOCATION","S","YES"
"LOCATION","SPC","YES"
